id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
45090385,Villa Ribaview Vista Mar,106153503,OesteGest,Lourinh,Ribamar,39.20053,-9.33656,Entire home/apt,350,7,0,,,6,314
45097044,"Clean&Safe 3brd apt in Belém. AC, lift, river view",364166891,Casa Do,Lisboa,Belm,38.69465,-9.21854,Entire home/apt,106,3,0,,,1,283
45097438,Olala Comfy Apartment | 10min. Praia da Rainha,129000409,Olala Homes,Cascais,Cascais e Estoril,38.70465,-9.43325,Entire home/apt,93,1,3,2021-07-02,1.55,5,349
45099055,Cascais Center Luxury Beach Apartment,126665180,Abu,Cascais,Cascais e Estoril,38.69839,-9.42211,Entire home/apt,125,1,32,2021-05-16,4.29,14,160
45099803,Ocean View Luxury Suite & Terrace Estoril Cascais,126665180,Abu,Cascais,Cascais e Estoril,38.70429,-9.3991,Entire home/apt,139,1,29,2021-05-02,2.86,14,182
45099825,Meet Lisboa | City centre | Spacious T2,28586432,Tomás,Lisboa,Arroios,38.72183,-9.1389,Entire home/apt,55,2,6,2021-06-07,6,2,241
45100471,Lisbon Rossio downtown Luxury apartment Prata 224,126665180,Abu,Lisboa,Santa Maria Maior,38.71297,-9.13854,Entire home/apt,69,1,17,2020-12-31,1.88,14,365
45103043,Libest Ribeira 8 - Boavista COOL LOFT,56201244,Libest,Lisboa,Misericrdia,38.70922,-9.14829,Entire home/apt,85,2,3,2020-11-08,0.29,27,319
45104367,Bright and colourful Apartment at São João Estoril,8143874,Joana,Cascais,Cascais e Estoril,38.70021,-9.38204,Entire home/apt,50,5,0,,,2,330
45106967,Appartamento aluguel de sala de classe Flamengo,80011749,Angelo,Lisboa,Marvila,38.75288,-9.12294,Private room,200,1,0,,,1,179
45110780,ALTIDO Superb 1-bed Apt w/ communal pool on Av. da Liberdade,1756107,Altido,Lisboa,Santo Antnio,38.71898,-9.14514,Entire home/apt,150,2,3,2020-10-17,0.32,140,357
45115952,ROUTE86 CamperVan,364363121,Pedro,Lisboa,Belm,38.71873,-9.21157,Entire home/apt,55,3,2,2020-10-18,0.22,1,145
45134799,Your Home at Alfama´s Heart,361720691,Tomás,Lisboa,Santa Maria Maior,38.71221,-9.12644,Entire home/apt,115,2,3,2020-10-13,0.47,3,24
45135299,My Graça Flat in Lisbon,76223539,BnBird Homes,Lisboa,So Vicente,38.71988,-9.12983,Entire home/apt,52,3,0,,,88,225
45135796,Classic Comfort,362556827,Le Premier,Lisboa,Avenidas Novas,38.73662,-9.14753,Private room,125,1,0,,,7,137
45137360,Le Premier Júnior Suite,362556827,Le Premier,Lisboa,Avenidas Novas,38.73608,-9.14808,Private room,114,1,1,2020-09-22,0.10,7,233
45137545,Classic comfort King,362556827,Le Premier,Lisboa,Avenidas Novas,38.73751,-9.14771,Private room,137,1,0,,,7,172
45137655,Le Premier Standart Suite with Balcony,362556827,Le Premier,Lisboa,Avenidas Novas,38.73599,-9.14908,Private room,126,1,4,2020-09-12,0.39,7,233
45137748,Premium King Room,362556827,Le Premier,Lisboa,Avenidas Novas,38.73791,-9.14919,Private room,185,1,0,,,7,175
45137847,Le Premier King Superior Suite,362556827,Le Premier,Lisboa,Avenidas Novas,38.73587,-9.14776,Private room,160,1,0,,,7,233
45139799,Quarto privado,224117014,Ângela,Lisboa,Marvila,38.75513,-9.12416,Private room,25,1,0,,,1,0
45150185,Lisbon City Centre Bairro Alto,21029247,Jessica,Lisboa,Misericrdia,38.71357,-9.14434,Entire home/apt,130,1,1,2020-09-13,0.10,4,269
45150295,Once Upon A Time In Sintra I,76223539,BnBird Homes,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.79256,-9.38039,Entire home/apt,67,3,5,2021-04-10,0.55,88,231
45152376,Prime Location Luxury Apartment | Elevator | AC,364666271,Brian,Lisboa,Santa Maria Maior,38.70944,-9.13797,Entire home/apt,141,1,2,2021-01-02,0.19,1,256
